Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2027,S3,0.1899,Vans,LFP,13384
2027,S3,0.1899,Vans,NMC,13549
2028,S3,0.1899,Vans,LFP,19529
2028,S3,0.1899,Vans,NMC,16692
2029,S3,0.1899,Vans,LFP,26535
2029,S3,0.1899,Vans,NMC,18958
2030,S3,0.1899,Vans,LFP,34006
2030,S3,0.1899,Vans,NMC,20160
2031,S3,0.1899,Vans,LFP,41519
2031,S3,0.1899,Vans,NMC,20408
2032,S3,0.1899,Vans,LFP,48728
2032,S3,0.1899,Vans,NMC,20042
2033,S3,0.1899,Vans,LFP,55378
2033,S3,0.1899,Vans,NMC,19463
2034,S3,0.1899,Vans,LFP,61297
2034,S3,0.1899,Vans,NMC,18985
2035,S3,0.1899,Vans,LFP,66438
2035,S3,0.1899,Vans,NMC,18777
2021,S4,0.1893,2 and 3 wheelers,LFP,20535
2021,S4,0.1893,2 and 3 wheelers,NMC,47916
2022,S4,0.1893,2 and 3 wheelers,LFP,240661
2022,S4,0.1893,2 and 3 wheelers,NMC,524770
2023,S4,0.1893,2 and 3 wheelers,LFP,1033606
2023,S4,0.1893,2 and 3 wheelers,NMC,1977494
2024,S4,0.1893,2 and 3 wheelers,LFP,2756228
2024,S4,0.1893,2 and 3 wheelers,NMC,4527710
2025,S4,0.1893,2 and 3 wheelers,LFP,5414318
2025,S4,0.1893,2 and 3 wheelers,NMC,7361790
2026,S4,0.1893,2 and 3 wheelers,LFP,8588481
2026,S4,0.1893,2 and 3 wheelers,NMC,9143991
2027,S4,0.1893,2 and 3 wheelers,LFP,11805743
2027,S4,0.1893,2 and 3 wheelers,NMC,9329120
2028,S4,0.1893,2 and 3 wheelers,LFP,14903589
2028,S4,0.1893,2 and 3 wheelers,NMC,8584646
2029,S4,0.1893,2 and 3 wheelers,LFP,17850518
2029,S4,0.1893,2 and 3 wheelers,NMC,7728535
2030,S4,0.1893,2 and 3 wheelers,LFP,20505046
2030,S4,0.1893,2 and 3 wheelers,NMC,7050767
2031,S4,0.1893,2 and 3 wheelers,LFP,22734486
2031,S4,0.1893,2 and 3 wheelers,NMC,6609217
2032,S4,0.1893,2 and 3 wheelers,LFP,24532525
2032,S4,0.1893,2 and 3 wheelers,NMC,6460698
2033,S4,0.1893,2 and 3 wheelers,LFP,26006495
2033,S4,0.1893,2 and 3 wheelers,NMC,6577731
2034,S4,0.1893,2 and 3 wheelers,LFP,27314216
2034,S4,0.1893,2 and 3 wheelers,NMC,6838821
2035,S4,0.1893,2 and 3 wheelers,LFP,28525580
2035,S4,0.1893,2 and 3 wheelers,NMC,7132097
2021,S4,0.1893,Buses,LFP,97
2021,S4,0.1893,Buses,NMC,226
2022,S4,0.1893,Buses,LFP,598
2022,S4,0.1893,Buses,NMC,1223
2023,S4,0.1893,Buses,LFP,1799
2023,S4,0.1893,Buses,NMC,3111
2024,S4,0.1893,Buses,LFP,3903
2024,S4,0.1893,Buses,NMC,5723
2025,S4,0.1893,Buses,LFP,7038
2025,S4,0.1893,Buses,NMC,8705
2026,S4,0.1893,Buses,LFP,11219
2026,S4,0.1893,Buses,NMC,11636
2027,S4,0.1893,Buses,LFP,16279
2027,S4,0.1893,Buses,NMC,14076
2028,S4,0.1893,Buses,LFP,21966
2028,S4,0.1893,Buses,NMC,15728
2029,S4,0.1893,Buses,LFP,27950
2029,S4,0.1893,Buses,NMC,16536
2030,S4,0.1893,Buses,LFP,33889
2030,S4,0.1893,Buses,NMC,16646
2031,S4,0.1893,Buses,LFP,39511
2031,S4,0.1893,Buses,NMC,16324
2032,S4,0.1893,Buses,LFP,44654
2032,S4,0.1893,Buses,NMC,15858
2033,S4,0.1893,Buses,LFP,49266
2033,S4,0.1893,Buses,NMC,15476
2034,S4,0.1893,Buses,LFP,53314
2034,S4,0.1893,Buses,NMC,15293
2035,S4,0.1893,Buses,LFP,56811
2035,S4,0.1893,Buses,NMC,15330
2021,S4,0.1893,Cars,LFP,338
2021,S4,0.1893,Cars,NMC,788
2022,S4,0.1893,Cars,LFP,2902
2022,S4,0.1893,Cars,NMC,6166
2023,S4,0.1893,Cars,LFP,10794
2023,S4,0.1893,Cars,NMC,19936
2024,S4,0.1893,Cars,LFP,27734
2024,S4,0.1893,Cars,NMC,44686
2025,S4,0.1893,Cars,LFP,57825
2025,S4,0.1893,Cars,NMC,81449
2026,S4,0.1893,Cars,LFP,105208
2026,S4,0.1893,Cars,NMC,129577
2027,S4,0.1893,Cars,LFP,172911
2027,S4,0.1893,Cars,NMC,186225
2028,S4,0.1893,Cars,LFP,262355
2028,S4,0.1893,Cars,NMC,246551
2029,S4,0.1893,Cars,LFP,372705
2029,S4,0.1893,Cars,NMC,304710
2030,S4,0.1893,Cars,LFP,500674
2030,S4,0.1893,Cars,NMC,355018
