State,Year,Month,Registrations,Month_Num,Date
BIHAR,2022,DEC,78127,12,2022-12-01
BIHAR,2023,JAN,82266,1,2023-01-01
BIHAR,2023,FEB,96882,2,2023-02-01
BIHAR,2023,MAR,112632,3,2023-03-01
BIHAR,2023,APR,101958,4,2023-04-01
BIHAR,2023,MAY,145378,5,2023-05-01
BIHAR,2023,JUN,111874,6,2023-06-01
BIHAR,2023,JUL,90966,7,2023-07-01
BIHAR,2023,AUG,78501,8,2023-08-01
BIHAR,2023,SEP,88721,9,2023-09-01
BIHAR,2023,OCT,90282,10,2023-10-01
BIHAR,2023,NOV,176595,11,2023-11-01
BIHAR,2023,DEC,112649,12,2023-12-01
BIHAR,2024,JAN,93626,1,2024-01-01
BIHAR,2024,FEB,104245,2,2024-02-01
BIHAR,2024,MAR,125244,3,2024-03-01
BIHAR,2024,APR,144144,4,2024-04-01
BIHAR,2024,MAY,116698,5,2024-05-01
BIHAR,2024,JUN,115279,6,2024-06-01
BIHAR,2024,JUL,109947,7,2024-07-01
BIHAR,2024,AUG,88486,8,2024-08-01
BIHAR,2024,SEP,83651,9,2024-09-01
BIHAR,2024,OCT,116442,10,2024-10-01
BIHAR,2024,NOV,217639,11,2024-11-01
BIHAR,2024,DEC,79850,12,2024-12-01
BIHAR,2025,JAN,92616,1,2025-01-01
BIHAR,2025,FEB,102891,2,2025-02-01
BIHAR,2025,MAR,114994,3,2025-03-01
BIHAR,2025,APR,134414,4,2025-04-01
BIHAR,2025,MAY,151895,5,2025-05-01
BIHAR,2025,JUN,118204,6,2025-06-01
BIHAR,2025,JUL,95712,7,2025-07-01
BIHAR,2025,AUG,80611,8,2025-08-01
BIHAR,2025,SEP,57197,9,2025-09-01
BIHAR,2025,OCT,237774,10,2025-10-01
BIHAR,2025,NOV,227201,11,2025-11-01
BIHAR,2025,DEC,93661,12,2025-12-01
BIHAR,2026,JAN,119161,1,2026-01-01
BIHAR,2026,FEB,129266,2,2026-02-01
BIHAR,2026,MAR,141661,3,2026-03-01
BIHAR,2026,APR,163541,4,2026-04-01
BIHAR,2026,MAY,145557,5,2026-05-01
BIHAR,2026,JUN,132914,6,2026-06-01
BIHAR,2026,JUL,96498,7,2026-07-01
CHANDIGARH,2020,JAN,3378,1,2020-01-01
CHANDIGARH,2020,FEB,3588,2,2020-02-01
CHANDIGARH,2020,MAR,3366,3,2020-03-01
CHANDIGARH,2020,APR,261,4,2020-04-01
CHANDIGARH,2020,MAY,730,5,2020-05-01
CHANDIGARH,2020,JUN,1912,6,2020-06-01
CHANDIGARH,2020,JUL,2303,7,2020-07-01
CHANDIGARH,2020,AUG,2340,8,2020-08-01
CHANDIGARH,2020,SEP,2239,9,2020-09-01
CHANDIGARH,2020,OCT,3414,10,2020-10-01
CHANDIGARH,2020,NOV,3941,11,2020-11-01
CHANDIGARH,2020,DEC,3192,12,2020-12-01
CHANDIGARH,2021,JAN,3192,1,2021-01-01
CHANDIGARH,2021,FEB,3256,2,2021-02-01
CHANDIGARH,2021,MAR,4127,3,2021-03-01
CHANDIGARH,2021,APR,2752,4,2021-04-01
CHANDIGARH,2021,MAY,945,5,2021-05-01
CHANDIGARH,2021,JUN,3448,6,2021-06-01
CHANDIGARH,2021,JUL,3337,7,2021-07-01
CHANDIGARH,2021,AUG,3319,8,2021-08-01
CHANDIGARH,2021,SEP,2889,9,2021-09-01
CHANDIGARH,2021,OCT,3801,10,2021-10-01
CHANDIGARH,2021,NOV,4161,11,2021-11-01
